QUARTER,TIME_REMAINING,NEW YORK_ACTION,CLEVELAND_ACTION,NEW YORK_SCORE,CLEVELAND_SCORE
3,10:46.0,,Personal foul by D. Smith (drawn by C. Sexton),52,63
3,10:31.0,,D. Nwaba misses 2-pt layup from 1 ft,52,63
3,10:25.0,,L. Nance makes 2-pt layup at rim,52,65
3,10:25.0,,Offensive rebound by L. Nance,52,65
3,10:16.0,K. Knox misses 3-pt jump shot from 26 ft,,52,65
3,10:16.0,,Defensive rebound by Team,52,65
3,10:16.0,Loose ball foul by D. Jordan (drawn by L. Nance),,52,65
3,10:00.0,,N. Stauskas makes 3-pt jump shot from 27 ft (assist by C. Sexton),52,68
3,9:46.0,D. Smith makes 2-pt layup from 1 ft,,54,68
3,9:35.0,,L. Nance makes 3-pt jump shot from 26 ft (assist by B. Knight),54,71
3,9:28.0,New York full timeout,,54,71
3,9:20.0,D. Dotson makes 3-pt jump shot from 25 ft (assist by D. Smith),,57,71
3,8:56.0,,C. Sexton misses 3-pt jump shot from 24 ft,57,71
3,8:52.0,Defensive rebound by D. Jordan,,57,71
3,8:38.0,M. Hezonja misses 2-pt jump shot from 22 ft,,57,71
3,8:37.0,,Defensive rebound by N. Stauskas,57,71
3,8:32.0,,N. Stauskas misses 3-pt jump shot from 26 ft,57,71
3,8:32.0,Defensive rebound by D. Jordan,,57,71
3,8:22.0,K. Knox misses 2-pt jump shot from 8 ft,,57,71
3,8:21.0,,Defensive rebound by N. Stauskas,57,71
3,8:20.0,,Turnover by N. Stauskas (bad pass; steal by D. Dotson),57,71
3,8:18.0,Shooting foul by N. Stauskas (drawn by D. Dotson),,57,71
3,8:18.0,D. Dotson makes free throw 1 of 2,,58,71
3,8:18.0,D. Dotson makes free throw 2 of 2,,59,71
3,8:06.0,,N. Stauskas misses 3-pt jump shot from 25 ft,59,71
3,8:03.0,Defensive rebound by D. Jordan,,59,71
3,7:52.0,M. Hezonja misses 2-pt jump shot from 14 ft,,59,71
3,7:48.0,,Defensive rebound by L. Nance,59,71
3,7:46.0,,Turnover by L. Nance (bad pass),59,71
3,7:46.0,K. Allen enters the game for M. Hezonja,,59,71
3,7:29.0,D. Dotson misses 2-pt jump shot from 17 ft,,59,71
3,7:26.0,,Defensive rebound by D. Nwaba,59,71
3,7:20.0,,Turnover by B. Knight (bad pass),59,71
3,7:06.0,D. Smith makes 2-pt jump shot from 20 ft (assist by K. Allen),,61,71
3,6:39.0,,C. Sexton misses 2-pt jump shot from 5 ft,61,71
3,6:38.0,,Offensive rebound by C. Sexton,61,71
3,6:36.0,,C. Sexton misses 2-pt jump shot from 11 ft,61,71
3,6:34.0,Defensive rebound by K. Knox,,61,71
3,6:31.0,K. Knox makes 2-pt jump shot from 7 ft,,63,71
3,6:31.0,,Cleveland full timeout,63,71
3,6:31.0,,J. Clarkson enters the game for B. Knight,63,71
3,6:09.0,,D. Nwaba misses 3-pt jump shot from 25 ft,63,71
3,6:07.0,Defensive rebound by D. Dotson,,63,71
3,5:59.0,K. Knox makes 2-pt jump shot from 16 ft (assist by D. Smith),,65,71
3,5:38.0,,N. Stauskas misses 3-pt jump shot from 25 ft,65,71
3,5:35.0,Defensive rebound by D. Dotson,,65,71
3,5:33.0,Personal foul by N. Stauskas (drawn by D. Smith),,65,71
3,5:21.0,D. Dotson misses 3-pt jump shot from 29 ft,,65,71
3,5:17.0,,Defensive rebound by J. Clarkson,65,71
3,5:09.0,,D. Nwaba misses 3-pt jump shot from 24 ft,65,71
3,5:08.0,Defensive rebound by Team,,65,71
3,5:08.0,,M. Dellavedova enters the game for N. Stauskas,65,71
3,4:56.0,D. Smith misses 2-pt jump shot from 23 ft,,65,71
3,4:53.0,,Defensive rebound by L. Nance,65,71
3,4:49.0,,C. Sexton misses 3-pt jump shot from 27 ft,65,71
3,4:46.0,Defensive rebound by K. Knox,,65,71
3,4:38.0,Turnover by D. Jordan (bad pass; steal by L. Nance),,65,71
3,4:35.0,,Personal foul by D. Smith (drawn by C. Sexton),65,71
3,4:35.0,A. Trier enters the game for D. Smith,,65,71
3,4:35.0,,M. Chriss enters the game for D. Nwaba,65,71
3,4:27.0,,Shooting foul by K. Allen (drawn by M. Dellavedova),65,71
3,4:27.0,,M. Dellavedova makes free throw 1 of 3,65,72
3,4:27.0,,M. Dellavedova makes free throw 2 of 3,65,73
3,4:27.0,,M. Dellavedova misses free throw 3 of 3,65,73
3,4:24.0,Defensive rebound by D. Dotson,,65,73
3,4:13.0,K. Allen makes 2-pt layup from 2 ft (assist by D. Dotson),,67,73
3,3:59.0,,C. Sexton makes 3-pt jump shot from 25 ft (assist by M. Dellavedova),67,76
3,3:47.0,K. Allen makes 3-pt jump shot from 26 ft (assist by K. Knox),,70,76
3,3:36.0,,M. Chriss misses 2-pt layup from 1 ft,70,76
3,3:33.0,Defensive rebound by D. Jordan,,70,76
3,3:28.0,Turnover by K. Knox (bad pass; steal by M. Chriss),,70,76
3,3:16.0,,C. Sexton misses 3-pt jump shot from 24 ft,70,76
3,3:13.0,Defensive rebound by D. Jordan,,70,76
3,3:07.0,Shooting foul by M. Chriss (drawn by A. Trier),,70,76
3,3:07.0,A. Trier misses free throw 1 of 2,,70,76
3,3:07.0,Offensive rebound by Team,,70,76
3,3:07.0,J. Jenkins enters the game for D. Dotson,,70,76
3,3:07.0,M. Robinson enters the game for D. Jordan,,70,76
3,3:07.0,A. Trier makes free throw 2 of 2,,71,76
3,2:47.0,,M. Chriss misses 3-pt jump shot from 23 ft,71,76
3,2:47.0,,Offensive rebound by L. Nance,71,76
3,2:47.0,,Personal foul by A. Trier (drawn by L. Nance),71,76
3,2:47.0,,L. Nance makes free throw 1 of 2,71,77
3,2:47.0,,L. Nance makes free throw 2 of 2,71,78
3,2:47.0,A. Trier misses 3-pt jump shot from 25 ft,,71,78
3,2:32.0,,Defensive rebound by M. Chriss,71,78
3,2:25.0,,J. Clarkson makes 3-pt jump shot from 27 ft (assist by M. Chriss),71,81
3,2:07.0,A. Trier misses 2-pt jump shot from 16 ft,,71,81
3,2:05.0,,Defensive rebound by M. Chriss,71,81
3,1:55.0,,J. Clarkson misses 3-pt jump shot from 26 ft,71,81
3,1:55.0,,Offensive rebound by L. Nance,71,81
3,1:55.0,,Shooting foul by M. Robinson (drawn by L. Nance),71,81
3,1:55.0,,L. Nance makes free throw 1 of 2,71,82
3,1:55.0,N. Vonleh enters the game for K. Knox,,71,82
3,1:55.0,Violation by Team (delay of game),,71,82
3,1:55.0,Violation by Team (delay of game),,71,82
3,1:55.0,,J. Clarkson makes technical free throw,71,83
3,1:55.0,,L. Nance makes free throw 2 of 2,71,84
3,1:47.0,K. Allen makes 2-pt jump shot from 15 ft,,73,84
3,1:35.0,,Shooting foul by N. Vonleh (drawn by C. Sexton),73,84
3,1:35.0,,C. Sexton misses free throw 1 of 2,73,84
3,1:35.0,,Offensive rebound by Team,73,84
3,1:35.0,,C. Sexton makes free throw 2 of 2,73,85
3,1:26.0,K. Allen makes 2-pt jump shot from 19 ft,,75,85
3,1:11.0,,M. Chriss misses 2-pt dunk from 1 ft (block by N. Vonleh),75,85
3,1:07.0,Defensive rebound by A. Trier,,75,85
3,0:58.0,J. Jenkins makes 2-pt jump shot from 12 ft (assist by K. Allen),,77,85
3,0:42.0,,M. Chriss makes 2-pt dunk from 1 ft (assist by M. Dellavedova),77,87
3,0:32.0,K. Allen makes 2-pt jump shot from 14 ft,,79,87
3,0:26.0,,J. Clarkson misses 2-pt jump shot from 3 ft (block by M. Robinson),79,87
3,0:22.0,Defensive rebound by N. Vonleh,,79,87
3,0:19.0,N. Vonleh misses 2-pt dunk at rim,,79,87
3,0:15.0,,Defensive rebound by L. Nance,79,87
3,0:00.0,,C. Sexton misses 2-pt layup at rim,79,87
3,0:00.0,,Offensive rebound by L. Nance,79,87
3,0:00.0,,L. Nance makes 2-pt layup at rim,79,89
4,11:49.0,,M. Dellavedova misses 3-pt jump shot from 28 ft,79,89
4,11:45.0,Defensive rebound by M. Robinson,,79,89
4,11:30.0,L. Kornet misses 3-pt jump shot from 23 ft,,79,89
4,11:27.0,,Defensive rebound by D. Nwaba,79,89
4,11:23.0,,Turnover by N. Stauskas (step out of bounds),79,89
4,11:15.0,Personal foul by D. Nwaba (drawn by K. Allen),,79,89
4,11:07.0,K. Allen misses 2-pt jump shot from 7 ft,,79,89
4,11:05.0,,Defensive rebound by M. Dellavedova,79,89
4,10:56.0,,J. Clarkson makes 2-pt layup from 2 ft,79,91
4,10:43.0,M. Robinson makes 2-pt dunk from 1 ft (assist by K. Allen),,81,91
4,10:43.0,Shooting foul by M. Chriss (drawn by M. Robinson),,81,91
4,10:43.0,M. Robinson misses free throw 1 of 1,,81,91
4,10:40.0,,Defensive rebound by M. Chriss,81,91
4,10:26.0,,M. Dellavedova makes 2-pt jump shot from 14 ft (assist by N. Stauskas),81,93
4,10:04.0,J. Jenkins makes 2-pt jump shot from 16 ft,,83,93
4,9:44.0,,J. Clarkson misses 3-pt jump shot from 25 ft,83,93
4,9:39.0,Defensive rebound by A. Trier,,83,93
4,9:37.0,A. Trier makes 2-pt jump shot from 18 ft,,85,93
4,9:19.0,,D. Nwaba makes 2-pt jump shot from 8 ft (assist by M. Dellavedova),85,95
4,9:05.0,J. Jenkins makes 3-pt jump shot from 27 ft (assist by K. Allen),,88,95
4,8:49.0,,D. Nwaba misses 2-pt jump shot from 9 ft,88,95
4,8:47.0,Defensive rebound by M. Robinson,,88,95
4,8:41.0,Shooting foul by M. Dellavedova (drawn by A. Trier),,88,95
4,8:41.0,A. Trier misses free throw 1 of 2,,88,95
4,8:41.0,Offensive rebound by Team,,88,95
4,8:41.0,D. Smith enters the game for K. Allen,,88,95
4,8:41.0,A. Trier makes free throw 2 of 2,,89,95
4,8:30.0,,N. Stauskas misses 3-pt jump shot from 26 ft,89,95
4,8:28.0,,Offensive rebound by Team,89,95
4,8:28.0,Violation by Team (kicked ball),,89,95
4,8:21.0,,Turnover by D. Nwaba (bad pass; steal by L. Kornet),89,95
4,8:17.0,M. Robinson makes 2-pt dunk from 1 ft (assist by J. Jenkins),,91,95
4,8:17.0,,Cleveland full timeout,91,95
4,8:17.0,,L. Nance enters the game for D. Nwaba,91,95
4,8:17.0,,C. Sexton enters the game for N. Stauskas,91,95
4,7:58.0,,J. Clarkson misses 3-pt jump shot from 26 ft,91,95
4,7:51.0,,Offensive rebound by L. Nance,91,95
4,7:45.0,,Turnover by C. Sexton (traveling),91,95
4,7:25.0,D. Smith misses 2-pt jump shot from 8 ft,,91,95
4,7:22.0,,Defensive rebound by M. Chriss,91,95
4,7:16.0,,Turnover by L. Nance (bad pass),91,95
4,7:06.0,J. Jenkins misses 3-pt jump shot from 27 ft,,91,95
4,7:02.0,Offensive rebound by M. Robinson,,91,95
4,6:55.0,L. Kornet misses 3-pt jump shot from 29 ft,,91,95
4,6:51.0,,Defensive rebound by M. Chriss,91,95
4,6:40.0,,J. Clarkson makes 2-pt jump shot from 8 ft,91,97
4,6:20.0,L. Kornet misses 2-pt jump shot from 14 ft,,91,97
4,6:20.0,,Defensive rebound by Team,91,97
4,6:20.0,Loose ball foul by M. Robinson (drawn by L. Nance),,91,97
4,6:20.0,K. Allen enters the game for J. Jenkins,,91,97
4,6:20.0,K. Knox enters the game for A. Trier,,91,97
4,6:02.0,,J. Clarkson misses 2-pt jump shot from 16 ft,91,97
4,6:02.0,Defensive rebound by K. Allen,,91,97
4,6:02.0,Personal foul by L. Nance (drawn by K. Allen),,91,97
4,5:50.0,D. Smith makes 2-pt layup at rim (assist by M. Robinson),,93,97
4,5:33.0,,M. Dellavedova misses 2-pt jump shot from 8 ft,93,97
4,5:26.0,,Offensive rebound by L. Nance,93,97
4,5:26.0,,L. Nance makes 2-pt dunk at rim,93,99
4,5:12.0,D. Smith misses 2-pt layup from 1 ft,,93,99
4,5:07.0,,Defensive rebound by J. Clarkson,93,99
4,5:05.0,,C. Sexton misses 2-pt layup from 1 ft (block by D. Smith),93,99
4,5:05.0,,Offensive rebound by Team,93,99
4,5:05.0,,D. Nwaba enters the game for M. Chriss,93,99
4,4:55.0,,C. Sexton misses 3-pt jump shot from 27 ft,93,99
4,4:52.0,Defensive rebound by K. Knox,,93,99
4,4:44.0,K. Allen makes 2-pt jump shot from 8 ft,,95,99
4,4:23.0,,C. Sexton makes 3-pt jump shot from 22 ft (assist by J. Clarkson),95,102
4,4:04.0,Shooting foul by C. Sexton (drawn by K. Allen),,95,102
4,4:04.0,K. Allen makes free throw 1 of 3,,96,102
4,4:04.0,K. Allen makes free throw 2 of 3,,97,102
4,4:04.0,K. Allen makes free throw 3 of 3,,98,102
4,3:47.0,,D. Nwaba misses 2-pt layup from 3 ft (block by L. Kornet),98,102
4,3:43.0,Defensive rebound by K. Knox,,98,102
4,3:34.0,K. Knox misses 3-pt jump shot from 25 ft,,98,102
4,3:31.0,,Defensive rebound by J. Clarkson,98,102
4,3:24.0,,J. Clarkson makes 3-pt jump shot from 28 ft,98,105
4,3:24.0,New York full timeout,,98,105
4,3:24.0,,Cleveland full timeout,98,105
4,3:03.0,K. Allen misses 2-pt jump shot from 12 ft (block by L. Nance),,98,105
4,3:02.0,,Defensive rebound by M. Dellavedova,98,105
4,3:02.0,,Personal foul by M. Robinson (drawn by M. Dellavedova),98,105
4,2:50.0,,J. Clarkson misses 3-pt jump shot from 25 ft,98,105
4,2:46.0,Defensive rebound by M. Robinson,,98,105
4,2:37.0,M. Robinson misses 2-pt dunk from 1 ft,,98,105
4,2:32.0,,Defensive rebound by J. Clarkson,98,105
4,2:26.0,,M. Dellavedova misses 3-pt jump shot from 27 ft,98,105
4,2:21.0,Defensive rebound by K. Allen,,98,105
4,2:17.0,L. Kornet makes 3-pt jump shot from 33 ft (assist by K. Allen),,101,105
4,1:50.0,,Turnover by L. Nance (lost ball; steal by M. Robinson),101,105
4,1:43.0,K. Allen misses 3-pt jump shot from 25 ft,,101,105
4,1:39.0,,Defensive rebound by J. Clarkson,101,105
4,1:23.0,,M. Dellavedova misses 2-pt jump shot from 12 ft,101,105
4,1:21.0,Defensive rebound by K. Knox,,101,105
4,1:11.0,Turnover by K. Knox (lost ball; steal by D. Nwaba),,101,105
4,0:58.0,,Turnover by J. Clarkson (lost ball; steal by D. Smith),101,105
4,0:58.0,New York full timeout,,101,105
4,0:52.0,L. Kornet makes 3-pt jump shot from 28 ft (assist by K. Allen),,104,105
4,0:36.0,,M. Dellavedova misses 3-pt jump shot from 25 ft,104,105
4,0:34.0,Defensive rebound by L. Kornet,,104,105
4,0:21.0,L. Kornet misses 3-pt jump shot from 26 ft,,104,105
4,0:17.0,,Defensive rebound by J. Clarkson,104,105
4,0:17.0,,Personal foul by L. Kornet (drawn by J. Clarkson),104,105
4,0:17.0,A. Trier enters the game for L. Kornet,,104,105
4,0:17.0,,Personal foul by K. Allen (drawn by C. Sexton),104,105
4,0:17.0,,C. Sexton makes free throw 1 of 2,104,106
4,0:17.0,,C. Sexton makes free throw 2 of 2,104,107
4,0:17.0,L. Kornet enters the game for A. Trier,,104,107
4,0:17.0,New York full timeout,,104,107
4,0:17.0,J. Jenkins enters the game for K. Allen,,104,107
4,0:07.0,J. Jenkins misses 3-pt jump shot from 23 ft,,104,107
4,0:02.0,Offensive rebound by D. Smith,,104,107
4,0:00.0,D. Smith misses 3-pt jump shot from 24 ft,,104,107
4,0:00.0,Offensive rebound by Team,,104,107
