QUARTER,TIME_REMAINING,NEW YORK_ACTION,MINNESOTA_ACTION,NEW YORK_SCORE,MINNESOTA_SCORE
2,0:01.0,,J. Teague makes 3-pt jump shot from 29 ft,45,55
3,11:47.0,D. Jordan makes 2-pt dunk from 1 ft (assist by D. Dotson),,47,55
3,11:26.0,,T. Gibson makes 2-pt dunk from 1 ft (assist by J. Teague),47,57
3,11:07.0,D. Jordan misses 2-pt layup from 2 ft (block by J. Teague),,47,57
3,11:06.0,,Defensive rebound by J. Teague,47,57
3,10:56.0,,J. Okogie misses 3-pt jump shot from 25 ft,47,57
3,10:53.0,Defensive rebound by K. Knox,,47,57
3,10:49.0,D. Dotson makes 2-pt layup from 1 ft (assist by K. Knox),,49,57
3,10:37.0,,Turnover by D. Šarić (bad pass),49,57
3,10:37.0,,Loose ball foul by T. Gibson (drawn by N. Vonleh),49,57
3,10:28.0,Offensive foul by D. Dotson (drawn by J. Okogie),,49,57
3,10:28.0,Turnover by D. Dotson (offensive foul),,49,57
3,10:18.0,,J. Teague makes 2-pt jump shot from 10 ft,49,59
3,9:59.0,D. Jordan misses 2-pt layup from 1 ft (block by J. Okogie),,49,59
3,9:59.0,,Defensive rebound by Team,49,59
3,9:52.0,,T. Gibson makes 2-pt layup from 1 ft (assist by J. Teague),49,61
3,9:52.0,,Shooting foul by N. Vonleh (drawn by T. Gibson),49,61
3,9:52.0,,T. Gibson makes free throw 1 of 1,49,62
3,9:52.0,New York full timeout,,49,62
3,9:39.0,K. Knox misses 3-pt jump shot from 25 ft,,49,62
3,9:37.0,Offensive rebound by D. Jordan,,49,62
3,9:36.0,D. Jordan misses 2-pt layup from 2 ft (block by T. Gibson),,49,62
3,9:33.0,,Defensive rebound by K. Bates-Diop,49,62
3,9:18.0,,J. Okogie misses 3-pt jump shot from 25 ft,49,62
3,9:15.0,Defensive rebound by D. Jordan,,49,62
3,9:07.0,Shooting foul by J. Okogie (drawn by N. Vonleh),,49,62
3,9:07.0,N. Vonleh misses free throw 1 of 2,,49,62
3,9:07.0,Offensive rebound by Team,,49,62
3,9:07.0,N. Vonleh makes free throw 2 of 2,,50,62
3,8:56.0,,D. Šarić misses 3-pt jump shot from 26 ft,50,62
3,8:53.0,Defensive rebound by D. Jordan,,50,62
3,8:45.0,D. Smith misses 2-pt jump shot from 9 ft,,50,62
3,8:43.0,Offensive rebound by Team,,50,62
3,8:32.0,Turnover by D. Dotson (bad pass; steal by J. Okogie),,50,62
3,8:21.0,,K. Bates-Diop makes 2-pt layup from 1 ft (assist by J. Okogie),50,64
3,8:04.0,Turnover by D. Smith (bad pass; steal by T. Gibson),,50,64
3,7:57.0,,D. Šarić misses 3-pt jump shot from 25 ft,50,64
3,7:54.0,,Offensive rebound by T. Gibson,50,64
3,7:48.0,,D. Šarić misses 2-pt layup from 2 ft,50,64
3,7:46.0,Defensive rebound by N. Vonleh,,50,64
3,7:40.0,D. Smith misses 2-pt layup from 1 ft,,50,64
3,7:38.0,,Defensive rebound by J. Teague,50,64
3,7:35.0,,D. Šarić makes 2-pt layup from 1 ft (assist by J. Teague),50,66
3,7:35.0,New York full timeout,,50,66
3,7:35.0,E. Mudiay enters the game for D. Jordan,,50,66
3,7:35.0,M. Robinson enters the game for D. Smith,,50,66
3,7:21.0,D. Dotson makes 3-pt jump shot from 24 ft (assist by K. Knox),,53,66
3,7:00.0,,J. Teague makes 2-pt jump shot from 11 ft,53,68
3,6:48.0,Shooting foul by T. Gibson (drawn by K. Knox),,53,68
3,6:48.0,K. Knox makes free throw 1 of 2,,54,68
3,6:48.0,,G. Dieng enters the game for T. Gibson,54,68
3,6:48.0,K. Knox makes free throw 2 of 2,,55,68
3,6:33.0,,K. Bates-Diop makes 2-pt layup from 2 ft (assist by D. Šarić),55,70
3,6:15.0,Turnover by E. Mudiay (bad pass),,55,70
3,6:06.0,,J. Teague misses 3-pt jump shot from 25 ft,55,70
3,6:04.0,,Offensive rebound by D. Šarić,55,70
3,5:58.0,,Turnover by J. Teague (lost ball; steal by K. Knox),55,70
3,5:52.0,K. Knox makes 2-pt layup from 2 ft,,57,70
3,5:43.0,,Turnover by G. Dieng (bad pass; steal by M. Robinson),57,70
3,5:25.0,E. Mudiay makes 2-pt jump shot from 8 ft,,59,70
3,5:25.0,,Minnesota full timeout,59,70
3,5:13.0,,Offensive foul by D. Šarić (drawn by E. Mudiay),59,70
3,5:13.0,,Turnover by D. Šarić (offensive foul),59,70
3,5:13.0,,A. Tolliver enters the game for D. Šarić,59,70
3,4:58.0,Turnover by E. Mudiay (bad pass; steal by K. Bates-Diop),,59,70
3,4:53.0,,K. Bates-Diop misses 2-pt jump shot from 5 ft,59,70
3,4:50.0,Defensive rebound by N. Vonleh,,59,70
3,4:46.0,K. Knox misses 3-pt jump shot from 25 ft,,59,70
3,4:43.0,,Defensive rebound by J. Okogie,59,70
3,4:35.0,,G. Dieng misses 2-pt jump shot from 21 ft,59,70
3,4:33.0,Defensive rebound by N. Vonleh,,59,70
3,4:20.0,E. Mudiay misses 3-pt jump shot from 25 ft,,59,70
3,4:15.0,,Defensive rebound by A. Tolliver,59,70
3,4:01.0,,J. Teague makes 2-pt jump shot from 7 ft,59,72
3,3:45.0,D. Dotson makes 2-pt jump shot from 8 ft (assist by E. Mudiay),,61,72
3,3:27.0,,K. Bates-Diop makes 3-pt jump shot from 26 ft (assist by G. Dieng),61,75
3,3:00.0,N. Vonleh makes 2-pt hook shot from 9 ft,,63,75
3,2:46.0,,J. Teague misses 2-pt layup from 2 ft (block by N. Vonleh),63,75
3,2:46.0,Defensive rebound by Team,,63,75
3,2:46.0,A. Trier enters the game for K. Knox,,63,75
3,2:46.0,,J. Bayless enters the game for J. Okogie,63,75
3,2:46.0,,T. Jones enters the game for J. Teague,63,75
3,2:38.0,D. Dotson misses 3-pt jump shot from 26 ft,,63,75
3,2:36.0,Offensive rebound by Team,,63,75
3,2:23.0,N. Vonleh misses 2-pt jump shot from 9 ft,,63,75
3,2:22.0,Offensive rebound by Team,,63,75
3,2:22.0,Turnover by Team (shot clock),,63,75
3,2:12.0,,T. Jones misses 2-pt jump shot from 9 ft,63,75
3,2:09.0,,Offensive rebound by T. Jones,63,75
3,2:03.0,,K. Bates-Diop makes 2-pt jump shot from 15 ft,63,77
3,1:39.0,Turnover by E. Mudiay (bad pass; steal by K. Bates-Diop),,63,77
3,1:29.0,,G. Dieng makes 2-pt layup at rim (assist by J. Bayless),63,79
3,1:29.0,,Shooting foul by M. Robinson (drawn by G. Dieng),63,79
3,1:29.0,,G. Dieng makes free throw 1 of 1,63,80
3,1:17.0,M. Robinson makes 2-pt dunk from 1 ft (assist by A. Trier),,65,80
3,0:58.0,,A. Tolliver misses 3-pt jump shot from 26 ft,65,80
3,0:56.0,Defensive rebound by N. Vonleh,,65,80
3,0:37.0,A. Trier misses 2-pt jump shot from 12 ft,,65,80
3,0:35.0,,Defensive rebound by K. Bates-Diop,65,80
3,0:23.0,,G. Dieng misses 2-pt layup from 5 ft (block by M. Robinson),65,80
3,0:20.0,Defensive rebound by D. Dotson,,65,80
3,0:18.0,A. Trier misses 2-pt layup from 3 ft (block by K. Bates-Diop),,65,80
3,0:14.0,Offensive rebound by D. Dotson,,65,80
3,0:12.0,A. Trier misses 3-pt jump shot from 24 ft,,65,80
3,0:12.0,,Defensive rebound by A. Tolliver,65,80
3,0:00.0,,T. Jones misses 3-pt jump shot from 25 ft,65,80
3,0:00.0,,Offensive rebound by Team,65,80
4,11:39.0,,T. Gibson makes 2-pt jump shot from 22 ft,65,82
4,11:19.0,L. Thomas misses 3-pt jump shot from 23 ft,,65,82
4,11:18.0,,Defensive rebound by Team,65,82
4,10:58.0,,J. Teague misses 2-pt jump shot from 6 ft,65,82
4,10:56.0,Defensive rebound by E. Mudiay,,65,82
4,10:52.0,E. Mudiay misses 2-pt layup from 1 ft,,65,82
4,10:50.0,,Defensive rebound by A. Tolliver,65,82
4,10:46.0,,T. Jones makes 3-pt jump shot from 26 ft (assist by J. Teague),65,85
4,10:20.0,E. Mudiay makes 2-pt layup from 1 ft,,67,85
4,10:09.0,,Turnover by A. Tolliver (lost ball; steal by E. Mudiay),67,85
4,9:58.0,Personal foul by T. Jones (drawn by L. Thomas),,67,85
4,9:58.0,D. Smith enters the game for E. Mudiay,,67,85
4,9:52.0,A. Trier makes 3-pt jump shot from 25 ft (assist by D. Smith),,70,85
4,9:35.0,,J. Teague misses 3-pt jump shot from 25 ft,70,85
4,9:33.0,Defensive rebound by J. Jenkins,,70,85
4,9:12.0,A. Trier misses 2-pt layup from 2 ft (block by J. Teague),,70,85
4,9:11.0,Offensive rebound by Team,,70,85
4,9:11.0,Turnover by Team (shot clock),,70,85
4,9:11.0,,J. Okogie enters the game for T. Jones,70,85
4,8:53.0,,T. Gibson makes 2-pt layup from 2 ft,70,87
4,8:53.0,,Shooting foul by M. Robinson (drawn by T. Gibson),70,87
4,8:53.0,,T. Gibson makes free throw 1 of 1,70,88
4,8:42.0,D. Smith misses 2-pt layup from 3 ft (block by J. Okogie),,70,88
4,8:39.0,,Defensive rebound by A. Tolliver,70,88
4,8:28.0,,J. Okogie misses 2-pt jump shot from 14 ft,70,88
4,8:25.0,Defensive rebound by M. Robinson,,70,88
4,8:11.0,J. Jenkins misses 3-pt jump shot from 26 ft,,70,88
4,8:08.0,,Defensive rebound by A. Tolliver,70,88
4,8:01.0,,Personal foul by M. Robinson (drawn by A. Tolliver),70,88
4,7:50.0,,J. Teague misses 3-pt jump shot from 26 ft,70,88
4,7:49.0,,Offensive rebound by Team,70,88
4,7:49.0,Loose ball foul by A. Trier (drawn by A. Tolliver),,70,88
4,7:49.0,D. Dotson enters the game for L. Thomas,,70,88
4,7:38.0,,J. Okogie misses 3-pt jump shot from 26 ft,70,88
4,7:35.0,Defensive rebound by M. Robinson,,70,88
4,7:23.0,A. Trier misses 2-pt layup from 3 ft (block by J. Okogie),,70,88
4,7:23.0,Offensive rebound by Team,,70,88
4,7:18.0,D. Smith makes 2-pt layup from 1 ft (assist by D. Dotson),,72,88
4,7:04.0,,A. Tolliver misses 2-pt hook shot from 9 ft,72,88
4,7:02.0,,Offensive rebound by T. Gibson,72,88
4,7:02.0,,T. Gibson makes 2-pt layup from 1 ft,72,90
4,6:49.0,D. Smith makes 2-pt layup from 2 ft,,74,90
4,6:37.0,,Offensive foul by A. Tolliver (drawn by D. Dotson),74,90
4,6:37.0,,Turnover by A. Tolliver (offensive foul),74,90
4,6:37.0,,Minnesota full timeout,74,90
4,6:37.0,K. Knox enters the game for J. Jenkins,,74,90
4,6:37.0,,K. Bates-Diop enters the game for J. Okogie,74,90
4,6:19.0,D. Smith makes 2-pt jump shot from 17 ft,,76,90
4,6:02.0,,Shooting foul by D. Smith (drawn by J. Teague),76,90
4,6:02.0,,J. Teague makes free throw 1 of 2,76,91
4,6:02.0,,J. Teague makes free throw 2 of 2,76,92
4,5:49.0,D. Smith makes 2-pt layup from 6 ft,,78,92
4,5:29.0,,K. Bates-Diop misses 2-pt jump shot from 6 ft,78,92
4,5:26.0,Defensive rebound by M. Robinson,,78,92
4,5:20.0,D. Dotson misses 2-pt jump shot from 20 ft,,78,92
4,5:18.0,Offensive rebound by M. Robinson,,78,92
4,5:18.0,M. Robinson makes 2-pt dunk at rim,,80,92
4,4:58.0,,Personal foul by A. Trier (drawn by K. Bates-Diop),80,92
4,4:58.0,,K. Bates-Diop makes free throw 1 of 2,80,93
4,4:58.0,,K. Bates-Diop makes free throw 2 of 2,80,94
4,4:46.0,K. Knox misses 2-pt jump shot from 18 ft,,80,94
4,4:43.0,,Defensive rebound by K. Bates-Diop,80,94
4,4:30.0,,A. Tolliver misses 3-pt jump shot from 26 ft,80,94
4,4:28.0,Defensive rebound by M. Robinson,,80,94
4,4:24.0,Turnover by D. Smith (lost ball; steal by T. Gibson),,80,94
4,4:20.0,,Shooting foul by M. Robinson (drawn by T. Gibson),80,94
4,4:20.0,,T. Gibson makes free throw 1 of 2,80,95
4,4:20.0,,D. Šarić enters the game for A. Tolliver,80,95
4,4:20.0,,T. Gibson misses free throw 2 of 2,80,95
4,4:17.0,Defensive rebound by K. Knox,,80,95
4,3:56.0,A. Trier makes 3-pt jump shot from 25 ft,,83,95
4,3:34.0,,J. Teague misses 2-pt layup from 2 ft (block by M. Robinson),83,95
4,3:31.0,Defensive rebound by D. Dotson,,83,95
4,3:29.0,D. Smith makes 2-pt layup from 1 ft (assist by D. Dotson),,85,95
4,3:15.0,,T. Gibson misses 2-pt jump shot from 20 ft,85,95
4,3:11.0,Defensive rebound by K. Knox,,85,95
4,3:06.0,Turnover by K. Knox (lost ball; steal by D. Šarić),,85,95
4,3:02.0,,C. Reynolds makes 3-pt jump shot from 24 ft (assist by K. Bates-Diop),85,98
4,2:59.0,New York full timeout,,85,98
4,2:59.0,,T. Jones enters the game for J. Teague,85,98
4,2:47.0,K. Knox makes 2-pt jump shot from 20 ft (assist by D. Dotson),,87,98
4,2:25.0,,T. Jones makes 3-pt jump shot from 26 ft,87,101
4,2:09.0,D. Dotson makes 3-pt jump shot from 23 ft (assist by D. Smith),,90,101
4,1:47.0,,D. Šarić makes 2-pt jump shot from 11 ft,90,103
4,1:43.0,D. Smith misses 2-pt layup from 4 ft (block by T. Jones),,90,103
4,1:42.0,Offensive rebound by D. Smith,,90,103
4,1:42.0,Shooting foul by T. Jones (drawn by D. Smith),,90,103
4,1:42.0,D. Smith misses free throw 1 of 2,,90,103
4,1:42.0,Offensive rebound by Team,,90,103
4,1:42.0,,G. Dieng enters the game for T. Gibson,90,103
4,1:42.0,,J. Terrell enters the game for C. Reynolds,90,103
4,1:42.0,,C. Williams enters the game for D. Šarić,90,103
4,1:42.0,D. Smith makes free throw 2 of 2,,91,103
4,1:19.0,,K. Bates-Diop misses 3-pt jump shot from 26 ft,91,103
4,1:18.0,Defensive rebound by Team,,91,103
4,1:18.0,New York full timeout,,91,103
4,1:15.0,Turnover by D. Smith (bad pass; steal by G. Dieng),,91,103
4,1:05.0,,Turnover by G. Dieng (bad pass),91,103
4,0:59.0,Personal foul by T. Jones (drawn by A. Trier),,91,103
4,0:59.0,A. Trier misses free throw 1 of 2,,91,103
4,0:59.0,Offensive rebound by Team,,91,103
4,0:59.0,A. Trier makes free throw 2 of 2,,92,103
4,0:35.0,,K. Bates-Diop misses 2-pt jump shot from 14 ft,92,103
4,0:32.0,Defensive rebound by D. Dotson,,92,103
4,0:17.0,D. Smith misses 2-pt jump shot from 11 ft,,92,103
4,0:15.0,,Defensive rebound by J. Terrell,92,103
